sync_id;sync_root;remote_addr;is_local_second_end
xxYajt4Nba2oKaMluZrA8p9Bjy0gjWctMJK9G5VZBgi5epXGgCPBNlrDLkYrdprDoRmg9suuJF5h3r6ASImtyNfhG5w5bzoSdD1PHJCZPao92IF2AXLYhYBpbVMTZA;D:/root/dev/projects/qsync_go;localhost;false
xxYajt4Nba2oKaMluZrA8p9Bjy0gjWctMJK9G5VZBgi5epXGgCPBNlrDLkYrdprDoRmg9suuJF5h3r6ASImtyNfhG5w5bzoSdD1PHJCZPao92IF2AXLYhYBpbVMTZA;D:\test;localhost;true
